,orderno,sentence
0,1-1,The ionospheric delay of global navigation satellite systems (GNSS) signals typically is compensated by adding a correction value to the pseudorange measurement.
1,1-2,We examine the ionospheric signal distortion beyond a constant delay.
2,1-3,These effects become increasingly significant with increasing signal bandwidth and hence more critical for the new broadband navigation signals.
3,1-4,"By simulation, we first demonstrate that the signal modulation constellation diagram is particularly susceptible to the influence of the ionosphere already at moderate electron content."
4,1-5,"Using high gain antenna measurements of the Galileo E5 signal, we then verify that the expected influence can indeed be observed and compensated."
5,1-6,A new method based on a binned maximum likelihood estimator is derived to estimate the total electron content (TEC) from a single frequency high gain antenna measurement of a broadband GNSS signal.
6,1-7,Results of the estimation process are presented and discussed comparing to common TEC products such as TEC maps and dual-frequency receiver estimates.
7,10-1,"Defoliation by herbivorous insects is a widespread forest disturbance driver, affecting global forest health and ecosystem dynamics."
8,10-2,"Compared with time- and labor-intensive field surveys, remote sensing provides the only realistic approach to mapping canopy defoliation by herbivorous insects over large spatial and temporal scales."
9,10-3,"However, the spectral and structural signatures of defoliation by insects at the individual tree level have not been well studied."
10,10-4,"Additionally, the predictive power of spectral and structural metrics for mapping canopy defoliation has seldom been compared."
11,10-5,These critical knowledge gaps prevent us from consistently detecting and mapping canopy defoliation by herbivorous insects across multiple scales.
12,10-6,"During the peak of a gypsy moth outbreak in Long Island, New York in summer 2016, we leveraged bi-temporal airborne imaging spectroscopy (IS, i.e., hyperspectral imaging) and LiDAR measurements at 1 m spatial resolution to explore the spectral and structural signatures of canopy defoliation in a mixed oak-pine forest."
13,10-7,We determined that red edge and near-infrared spectral regions within the IS data were most sensitive to crown-scale defoliation severity.
14,10-8,"LiDAR measurements including B70 (i.e., 70th bincentile height), intensity skewness, and kurtosis were effectively able to detect structural changes caused by herbivorous insects."
15,10-9,"In addition to canopy leaf loss, increased exposure of understory and non-photosynthetic materials contributed to the detected spectral and structural signatures."
16,10-10,"Comparing the ability of individual sensors to map canopy defoliation, the LiDAR-only Ordinary Least-Square (OLS) model performed better than the IS-only model (Adj. R-squared = 0.77, RMSE = 15.37% vs. Adj. Rsquared = 0.63, RMSE = 19.11%)."
17,10-11,"The IS + LiDAR model improved on performance of the individual sensors (Adj. R-squared = 0.81, RMSE = 14.46%)."
18,10-12,Our study improves our understanding of spectral and structural signatures of defoliation by herbivorous insects and presents a novel approach for mapping insect defoliation at the individual tree level.
19,10-13,"Additionally, with the current and next generation of spaceborne sensors (e.g., WorldView-3, Landsat, Sentinel-2, HyspIRI, and GEDI), higher accuracy and frequent monitoring of insect defoliation may become more feasible across a range of spatial scales, which are critical for ecological research and management of forest resources including the economic consequences of forest insect infestations (e.g., reduced growth and increased mortality), as well as for informing and testing of carbon cycle models."
20,100-1,"Atmospheric soundings from radiosondes are critical for the weather forecasting, particularly for the diagnostic of atmospheric stability conditions that can lead to thunderstorm development."
21,100-2,"However, radiosonde observations (RAOBs) are temporally and spatially limited throughout the globe, promoting the use of satellite measurements."
22,100-3,This paper assesses the applicability to the operational short-term weather forecasting of atmospheric stability indices and parameters (SIPs) derived from thermodynamic profiles retrieved from the National Oceanic and Atmospheric Administration Unique Combined Atmospheric Processing System (NUCAPS) using the Suomi National Polar-orbiting Partnership (SNPP) Cross-track Infrared Sounder (CrIS) and Advanced Technology Microwave Sounder (ATMS) radiances.
23,100-4,"For this purpose, we validated NUCAPS SIPs against SIPs derived from conventional and dedicated/reference RAOBs collocated with NUCAPS retrievals within a maximum radius of 50 km and +/- 1-h time difference, over midlatitudes (60 degrees N-30 degrees N) and tropics (30 degrees N-30 degrees S)."
24,100-5,"Stability parameters evaluated include total precipitable water (TPW), lifted index, K-index, total-totals index, and Galvez-Davison index."
25,100-6,"NUCAPS TPW exhibited the highest level of statistical agreement with RAOBs, with the remaining NUCAPS SIPs exhibiting favorable results (linear correlations ranging between 0.65 and 0.85)."
26,100-7,"Case studies over the Texas/Oklahoma region and the Northern Coast of Brazil demonstrate NUCAPS capability of generating reliable fields of atmospheric stability, as well as capturing synoptic-scale convective signatures, not feasible with RAOBs."
27,100-8,"Considering also the benefit of SNPP NUCAPS hyperspectral-infrared (IR) and microwave soundings available for both regions during critical early afternoon periods, our analysis supports the use of NUCAPS CrIS/ATMS SIPs as complementary nowcasting tools for the analysis of preconvective environments."
28,101-1,"Together with the continuous development of passive microwave surface soil moisture (SSM) products from newly launched satellites, it is necessary to perform reliable validations to assess their accuracy."
29,101-2,"With this aim, a new ""bottom-up"" validation approach is proposed based on the synergistic use of in situ SSM measurements from the soil moisture measurement station network (REMEDHUS) of the University of Salamanca, Salamanca, Spain, and optical/thermal infrared observations over 18 cloud-free days from Landsat-8."
30,101-3,An SSM estimation method using the boundary information from the land surface temperature and normalized difference vegetation index triangle space was developed for regional SSM mapping.
31,101-4,"The retrieved SSM reached a relatively good performance (mean R 2 and rootmean-squared error of 0.64 and 0.033 ne/m(3), respectively)."
32,101-5,"Then, the regional SSM was aggregated into the grid-cell scale of the Advanced Microwave Scanning Radiometer 2 (AMSR2) L3 high-resolution (0.1 degrees /10 km) soil moisture product to validate it both at network and grid-cell levels."
33,101-6,"At the network level, the derived regional SSM showed a good agreement with the averaged in situ measurements over the network (R = 0.731)."
34,101-7,"However, at the grid-cell level, small variations were observed for the cells over the network between the estimates and the AMSR2 product, with negative biases (-0.044 to -0.090 m(3)/m(3)) and positive correlations (R > 0.25) for most cells."
35,101-8,"In addition, it is shown that the descending product has a slightly better performance than does the ascending one."
36,101-9,"The preliminary assessments suggested that the proposed method provides new insights into the validation of passive microwave soil moisture products, while avoiding the common issue related to the big disparity in spatial scales between satellite observation and in situ measurements."
37,102-1,"The global optimal solution (GOS) has proven to be very accurate for deriving water surface velocities from contemporaneous image pairs, but previous studies have used shore-based radars or satellite measurements with resolutions on the order of a kilometer or tens of meters to establish this."
38,102-2,"In contrast, the objective of this paper is to derive a GOS velocity field from infrared (IR) (3-5 mu m) images having a 1-m pixel size."
39,102-3,"Because IR images can frequently exhibit a low signalto-noise ratio, a newly developed GOS technique with a local similarity metric is used to retrieve velocities from such low-contrast data sets."
40,102-4,"To demonstrate the utility of this new method, we use airborne data collected in the tidal Potomac River over 11 days and spatially varying flood, ebb, and slack conditions."
41,102-5,The resulting GOS-derived velocity estimates are compared against acoustic Doppler current profiler (ADCP) measurements taken simultaneously with the airborne collections.
42,102-6,"Velocity magnitudes and directions are found to have GOS versus ADCP correlations of 0.93 and 0.99, respectively."
43,102-7,This high correlation suggests that the GOS technique may be applicable to a variety of lower contrast imagery that can now be collected by a low-altitude remotely controlled aircraft.
44,103-1,This paper proposes a novel method based on deformable dictionary learning for detecting the regions of change between multitemporal image pairs.
45,103-2,"We build on our previous work, which constructed a pair of dictionaries."
46,103-3,The main shortcoming of this method was its dependence on a large amount of training data.
47,103-4,"In practice, there is often a shortage of ground-truthed training images, which limits the expression capability of the resulting dictionaries."
48,103-5,"This paper overcomes this challenge by incorporating the concept of deformation, wherein each atom of a dictionary is no longer a simple image patch, but instead is a flexible image deformation function."
49,103-6,"This enables the creation of more expressive dictionaries, capable of generalizing to a far greater variety of image patterns, while using a far smaller amount of ground-truthed images for supervised dictionary training."
50,103-7,Deformation similarity is employed for patch matching to find the best set of atoms in the difference image (DI) dictionary for reconstructing image patches for a new input DI.
51,103-8,"Each such atom can be deformed to achieve a better match, thus extending generality while reducing the number of atoms needed in the dictionary."
52,103-9,Multiple deformed atoms are weighted and combined to hest reconstruct the input DI patch.
53,103-10,"Then, the same set of deformations and weights is projected to the corresponding atoms in the CD dictionary to obtain the output change-detection map."
54,103-11,Experiments in six realistic synthetic aperture radar data sets demonstrate the robustness and efficiency of the proposed method in comparison with five other state-of-the-art methods from the literature.
55,104-1,Methods to obtain accurate phenotypic data of the seedling stage of maize are receiving ever-increasing research attention because such data are very important for crop growth and for estimating crop yield.
56,104-2,"To obtain such data, we propose herein an algorithm that uses computer vision to accurately recognize maize seedlings from a digital image."
57,104-3,"First, the red-green-blue (RGB) images acquired by a manned ground vehicle (MGV) and an unmanned aerial vehicle (UAV) are transformed into grayscale image to clarify the details of the images, and the Otsu threshold-segmentation method, which is based on threshold optimization, is used to separate the maize seedlings from the soil background."
58,104-4,"Next, the external pressure method is used to segment the results of skeleton extraction."
59,104-5,"After removing the skeleton burr by using the skeleton-deburring method based on saliency theory, the principal component analysis is used to determine the direction of the principal axis of the maize-seedling skeleton."
60,104-6,The principal axis is then introduced as a reference to identify the direction angle of the principle axis in binary images.
61,104-7,This process allows us to obtain from RGB images the multiple plant parameters that characterize the maize seedling stage.
62,104-8,"To verify these statistical computer-generated results, we compare them with field measurements of the maize plots."
63,104-9,The result of applying the proposed algorithm to the MGV and UAV data sets correlate strongly (R = 0.77-0.86) with the manually collected data.
64,104-10,"An average of 0.014 s is required to calculate the number of maize seedlings in a plot from two images showing different vegetation coverage, which shows that the proposed algorithm is computationally efficient."
